SYMBOL,company,product,region,country,industry,sector,gics_sector
1332.T,Nissui Corporation,Equity,jp_topix_500,Japan,Packaged Foods,"Fishery,Agriculture & Forestry",Consumer Defensive
1333.T,Maruha Nichiro Corporation,Equity,jp_topix_500,Japan,Packaged Foods,"Fishery,Agriculture & Forestry",Consumer Defensive
1414.T,"SHO-BOND Holdings Co.,Ltd.",Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1417.T,MIRAIT ONE Corporation,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1605.T,INPEX CORPORATION,Equity,jp_topix_500,Japan,Oil & Gas E&P,Mining,Energy
1719.T,HAZAMA ANDO CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1721.T,COMSYS Holdings Corporation,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1801.T,TAISEI CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1802.T,OBAYASHI CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1803.T,SHIMIZU CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1808.T,HASEKO Corporation,Equity,jp_topix_500,Japan,Residential Construction,Construction,Consumer Cyclical
1812.T,KAJIMA CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1820.T,"Nishimatsu Construction Co.,Ltd.",Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1860.T,TODA CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1878.T,"DAITO TRUST CONSTRUCTION CO.,LTD.",Equity,jp_topix_500,Japan,Real Estate - Diversified,Real Estate,Real Estate
1893.T,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1911.T,"Sumitomo Forestry Co.,Ltd.",Equity,jp_topix_500,Japan,Residential Construction,Construction,Consumer Cyclical
1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Equity,jp_topix_500,Japan,Real Estate - Development,Construction,Real Estate
1928.T,"Sekisui House,Ltd.",Equity,jp_topix_500,Japan,Residential Construction,Construction,Consumer Cyclical
1942.T,"KANDENKO CO.,LTD.",Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1944.T,KINDEN CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1951.T,"EXEO Group,Inc.",Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1959.T,KRAFTIA CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1963.T,JGC HOLDINGS CORPORATION,Equity,jp_topix_500,Japan,Engineering & Construction,Construction,Industrials
1969.T,"Takasago Thermal Engineering Co.,Ltd.",Equity,jp_topix_500,Japan,Building Products & Equipment,Construction,Industrials
2002.T,NISSHIN SEIFUN GROUP INC.,Equity,jp_topix_500,Japan,Packaged Foods,Foods,Consumer Defensive
2127.T,Nihon M&A Center Holdings Inc.,Equity,jp_topix_500,Japan,Capital Markets,Services,Financial Services
2181.T,"PERSOL HOLDINGS CO.,LTD.",Equity,jp_topix_500,Japan,Staffing & Employment Services,Services,Industrials
2201.T,"Morinaga & Co.,Ltd.",Equity,jp_topix_500,Japan,Confectioners,Foods,Consumer Defensive
2206.T,"Ezaki Glico Co.,Ltd.",Equity,jp_topix_500,Japan,Packaged Foods,Foods,Consumer Defensive
2212.T,"YAMAZAKI BAKING CO.,LTD.",Equity,jp_topix_500,Japan,Packaged Foods,Foods,Consumer Defensive
2222.T,"Kotobuki Spirits Co.,Ltd.",Equity,jp_topix_500,Japan,Confectioners,Foods,Consumer Defensive
2229.T,"CALBEE,Inc.",Equity,jp_topix_500,Japan,Packaged Foods,Foods,Consumer Defensive
2264.T,"MORINAGA MILK INDUSTRY CO.,LTD.",Equity,jp_topix_500,Japan,Packaged Foods,Foods,Consumer Defensive
2267.T,"YAKULT HONSHA CO.,LTD.",Equity,jp_topix_500,Japan,Beverages - Non-Alcoholic,Foods,Consumer Defensive
2269.T,"Meiji Holdings Co.,Ltd.",Equity,jp_topix_500,Japan,Packaged Foods,Foods,Consumer Defensive
2282.T,NH Foods Ltd.,Equity,jp_topix_500,Japan,Packaged Foods,Foods,Consumer Defensive
2327.T,NS Solutions Corporation,Equity,jp_topix_500,Japan,Information Technology Services,Information & Communication,Technology
2331.T,"ALSOK CO.,LTD.",Equity,jp_topix_500,Japan,Security & Protection Services,Services,Industrials
2371.T,"Kakaku.com,Inc.",Equity,jp_topix_500,Japan,Internet Content & Information,Services,Communication Services
2413.T,"M3,Inc.",Equity,jp_topix_500,Japan,Health Information Services,Services,Healthcare
2432.T,"DeNA Co.,Ltd.",Equity,jp_topix_500,Japan,Conglomerates,Information & Communication,Industrials
2433.T,HAKUHODO DY HOLDINGS INCORPORATED,Equity,jp_topix_500,Japan,Advertising Agencies,Services,Communication Services
2501.T,SAPPORO HOLDINGS LIMITED,Equity,jp_topix_500,Japan,Beverages - Brewers,Foods,Consumer Defensive
2502.T,"Asahi Group Holdings,Ltd.",Equity,jp_topix_500,Japan,Beverages - Brewers,Foods,Consumer Defensive
